
===============================================================
                Cortex-M3 ICODE BUS TRACE
===============================================================

TIME(ns)     ADDRESS      INSTRUCTION    HTRANS   HRESP
 32520.000ns   00000568   60832300      NONSEQ      OKAY
 32640.000ns   00000568   60832300      NONSEQ      OKAY
 32680.000ns   0000056c   60826101      NONSEQ      OKAY
 32720.000ns   00000570   f0136843      NONSEQ      OKAY
 32760.000ns   00000574   bf140f0c      NONSEQ      OKAY
 33000.000ns   00000578   20002001      NONSEQ      OKAY
 33360.000ns   0000057c   bf004770      NONSEQ      OKAY
 33400.000ns   00000580   f3c06840      NONSEQ      OKAY
 33440.000ns   00000584   47700040      NONSEQ      OKAY
 33480.000ns   00000220   b9f0f98d      NONSEQ      OKAY
 33520.000ns   00000224   48154605      NONSEQ      OKAY
 33560.000ns   00000228   f9c8f000      NONSEQ      OKAY
 33600.000ns   0000022c   48144601      NONSEQ      OKAY
 33640.000ns   00000230   f001462c      NONSEQ      OKAY
 33720.000ns   000005bc   47706900      NONSEQ      OKAY
 33760.000ns   000005c0   f00068c0      NONSEQ      OKAY
 33800.000ns   000005c4   47700001      NONSEQ      OKAY
 33840.000ns   0000022c   48144601      NONSEQ      OKAY
 33880.000ns   00000230   f001462c      NONSEQ      OKAY
 34040.000ns   00000234   2502f8ff      NONSEQ      OKAY
 34080.000ns   00000238   22002301      NONSEQ      OKAY
 34200.000ns   00001434   4b0ab40f      NONSEQ      OKAY
 34240.000ns   00001438   681cb513      NONSEQ      OKAY
 34280.000ns   0000143c   69a3b124      NONSEQ      OKAY
 34600.000ns   00001440   4620b913      NONSEQ      OKAY
 34840.000ns   00001444   fe72f7ff      NONSEQ      OKAY
 35000.000ns   00001448   4620ab05      NONSEQ      OKAY
 35120.000ns   0000112c   4604b510      NONSEQ      OKAY
 35160.000ns   00001130   fff0f7ff      NONSEQ      OKAY
 35200.000ns   00001134   b11b69a3      NONSEQ      OKAY
 35400.000ns   00001114   f0004801      NONSEQ      OKAY
 35440.000ns   00001118   bf00b8a7      NONSEQ      OKAY
 35480.000ns   0000111c   2000006a      NONSEQ      OKAY
 35560.000ns   00001268   47704770      NONSEQ      OKAY
 35600.000ns   0000126c   44024603      NONSEQ      OKAY
 35640.000ns   00001134   b11b69a3      NONSEQ      OKAY
 35680.000ns   00001138   4010e8bd      NONSEQ      OKAY
 35720.000ns   0000113c   bff0f7ff      NONSEQ      OKAY
 35880.000ns   00001140   3312e9c4      NONSEQ      OKAY
 35920.000ns   00001144   4b136523      NONSEQ      OKAY
 35960.000ns   00001148   681b4a13      NONSEQ      OKAY
 36000.000ns   0000114c   42a362a2      NONSEQ      OKAY
 36160.000ns   00001150   2301bf08      NONSEQ      OKAY
 36320.000ns   00001154   bf084620      NONSEQ      OKAY
 36400.000ns   00001158   f00061a3      NONSEQ      OKAY
 36440.000ns   0000115c   6060f81f      NONSEQ      OKAY
 36480.000ns   00001160   f0004620      NONSEQ      OKAY
 36520.000ns   0000119c   4607b5f8      NONSEQ      OKAY
 36560.000ns   000011a0   ffacf7ff      NONSEQ      OKAY
 36600.000ns   000011a4   681e4b1e      NONSEQ      OKAY
 36960.000ns   000010fc   f0004801      NONSEQ      OKAY
 37000.000ns   00001100   bf00b8b3      NONSEQ      OKAY
 37040.000ns   00001104   20000069      NONSEQ      OKAY
 37120.000ns   00001268   47704770      NONSEQ      OKAY
 37160.000ns   0000126c   44024603      NONSEQ      OKAY
 37200.000ns   000011a4   681e4b1e      NONSEQ      OKAY
 37240.000ns   000011a8   b91369b3      NONSEQ      OKAY
 37280.000ns   000011ac   f7ff4630      NONSEQ      OKAY
 37440.000ns   000011b0   3648ffbd      NONSEQ      OKAY
 37600.000ns   000011b0   3648ffbd      NONSEQ      OKAY
 37640.000ns   000011b4   3401e9d6      NONSEQ      OKAY
 37680.000ns   000011b8   d5033b01      NONSEQ      OKAY
 37720.000ns   000011bc   b30b6833      NONSEQ      OKAY
 37800.000ns   000011c0   e7f76836      NONSEQ      OKAY
 37920.000ns   000011c4   500cf9b4      NONSEQ      OKAY
 37960.000ns   000011c4   500cf9b4      NONSEQ      OKAY
 38080.000ns   00001204   46382104      NONSEQ      OKAY
 38120.000ns   00001208   ff62f7ff      NONSEQ      OKAY
 38160.000ns   0000120c   60304604      NONSEQ      OKAY
 38200.000ns   00001210   d1d52800      NONSEQ      OKAY
 38240.000ns   000010d0   b5702268      NONSEQ      OKAY
 38280.000ns   000010d4   43551e4d      NONSEQ      OKAY
 38320.000ns   000010d8   f105460e      NONSEQ      OKAY
 38360.000ns   000010dc   f0000174      NONSEQ      OKAY
 38640.000ns   000010e0   4604f935      NONSEQ      OKAY
 38720.000ns   000010e4   2100b140      NONSEQ      OKAY
 38760.000ns   0000134c   41f0e92d      NONSEQ      OKAY
 38800.000ns   00001350   f0251ccd      NONSEQ      OKAY
 38840.000ns   00001354   35080503      NONSEQ      OKAY
 38880.000ns   00001358   bf382d0c      NONSEQ      OKAY
 39160.000ns   0000135c   2d00250c      NONSEQ      OKAY
 39200.000ns   00001360   db014607      NONSEQ      OKAY
 39280.000ns   00001364   d90542a9      NONSEQ      OKAY
 39320.000ns   00001368   2600230c      NONSEQ      OKAY
 39400.000ns   00001368   2600230c      NONSEQ      OKAY
 39440.000ns   0000136c   4630603b      NONSEQ      OKAY
 39480.000ns   00001374   f0004e2e      NONSEQ      OKAY
 39520.000ns   00001378   6833fadb      NONSEQ      OKAY
 39560.000ns   0000137c   bb34461c      NONSEQ      OKAY
 39640.000ns   00001930   f7ff4801      NONSEQ      OKAY
 39680.000ns   00001934   bf00bc99      NONSEQ      OKAY
 39720.000ns   00001938   20000068      NONSEQ      OKAY
 39800.000ns   00001268   47704770      NONSEQ      OKAY
 39840.000ns   0000126c   44024603      NONSEQ      OKAY
 39880.000ns   00001378   6833fadb      NONSEQ      OKAY
